#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
4,TUTORIAL_31,危険な場所,Hazardous Locations,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,4
5,TUTORIAL_32,ボードクエスト,Board Quest,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,5
6,TUTORIAL_33,戦うべき敵,Fighting Monsters,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,6
7,TUTORIAL_35,白竜神殿レーゼ,The White Dragon Temple,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,7
8,TUTORIAL_36,優先クエスト,Priority Quests,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,8
9,TUTORIAL_38,世界の住人,NPCs,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,9
10,TUTORIAL_39,ミニマップの使い方,Using the Minimap,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,10
11,TUTORIAL_40,レスタニアニュース,Lestania News,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,11
12,TUTORIAL_42,ワールドクエスト,World Quests,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,12
13,TUTORIAL_43,クエスト推奨レベル,Quest Recommended Level,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,13
14,TUTORIAL_46,チャットログ,Chat Log,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,14
15,TUTORIAL_49,覚者の基本成長,Basic Growth,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,15
16,TUTORIAL_53,クライミング,Climbing,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,16
17,TUTORIAL_55,アイテムの入手,Obtaining Items,ui\00_message\tutorial_guide\tutorial_guide.gmd,\tutorial_guide.arc,tutorial_guide.arc,17
