#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"大門の開閉担当者は
副所長の許可証を必ず携帯ください","Those responsible for the main gate's 
operation must always have the 
Deputy Director's authorization on hand.",ui\00_message\examine_message\stage\stage_examine_st0411.gmd,\stage\st0411\st0411.arc,st0411.arc,42
0,,"""ポーン郷の成立記録""","""Chronicles of Pawn Cathedral's Origins""",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,0
0,,"ポーン郷はレスタニアにおいて、異界との
接点を守るため建造された
その成立は古く、異界より大勢のポーンを
召喚し率いた旧時代の覚者が成したとされている","Pawn Cathedral was built in Lestania to 
safeguard the connection with the 
otherworld. Its origin is ancient, 
credited to an old Arisen who summoned 
and led many pawns from that world.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,1
0,,"ポーンの長により管理され続けてきたこの聖堂は、
《異界の狭間》への入り口として現在も覚者に
とって試練の場として機能している","The cathedral, under the Pawn Chief's care, 
remains a trial ground for the Arisen, 
acting as a gateway to 《The Rift》.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,2
0,,"だが覚者も、そしてここより来たるポーンすら、
異界の狭間を越えた先がどこへ繋がるか
知る者はいない","But neither the Arisen nor the pawns 
who come from here know where 
the paths beyond the rifts 
of the otherworld lead.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,3
0,,"異界の扉は閉ざされている
ポーンが消滅し《異界の狭間》に送られた
時のみ、扉は開くようだ","The gate to the otherworld is closed. 
The door opens only when a Pawn disappears, 
transported to 《The Rift》.",ui\00_message\examine_message\stage\stage_examine_st0412.gmd,\stage\st0412\st0412.arc,st0412.arc,4
0,,"<COL ffdc78>《鉱泉の鍵・癒しの泉》</COL>は
受付カウンターで好評販売中です！
　　　　　～キノザ鉱泉支配人・ロイ～","<COL ffdc78>《Spring of Healing Key》</COL> 
is now available at the reception counter! 
―― Kinoza Mineral Springs Manager, Roy",ui\00_message\examine_message\stage\stage_examine_st0414.gmd,\stage\st0414\st0414.arc,st0414.arc,0
0,,"<COL ffdc78>《鉱泉の鍵・活力の泉》</COL>は
受付カウンターで好評発売中です！
　　　　　～キノザ鉱泉支配人・ロイ～","<COL ffdc78>《Spring of Vitality Key》</COL> 
is now available at the reception counter! 
―― Kinoza Mineral Springs Manager, Roy",ui\00_message\examine_message\stage\stage_examine_st0414.gmd,\stage\st0414\st0414.arc,st0414.arc,1
0,,"<COL ffdc78>《鉱泉の鍵・豊穣の泉》</COL>は
受付カウンターで好評発売中です！
　　　　　～キノザ鉱泉支配人・ロイ～","<COL ffdc78>《Spring of Abundance Key》</COL> 
is now available at the reception counter! 
―― Kinoza Mineral Springs Manager, Roy",ui\00_message\examine_message\stage\stage_examine_st0414.gmd,\stage\st0414\st0414.arc,st0414.arc,2
0,,"""メルゴダ上級士官の手記""","""Notes of the Mergoda Senior Officer""",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,0
0,,"ゴルゴラン王は最近、なにやら深く
思慮されることが多いように思う","King Golgorran appears to have been 
engaged in deep contemplation of late.",ui\00_message\examine_message\stage\stage_examine_st0418.gmd,\stage\st0418\st0418.arc,st0418.arc,1
